NÚMERO E ANO DO REQUERIMENTO,PORTARIA DE AUTORIZAÇÃO,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS
0056/2026,"SPA/MF nº 844, de 17 de abril de 2025
(Alterada pela Portaria SPA/MF nº 975, de 06 de maio de 2025 e pela Portaria SPA/MF nº 1.176, de 29 de maio de 2025)",7MBR LTDA,56.442.917/0001-11,FANBIT,fanbit.bet.br
0057/2024,"SPA/MF nº 323, de 17 de fevereiro de 2025",UPBET BRASIL LTDA,56.236.761/0001-00,UPBETBR,up.bet.br
0057/2025,"SPA/MF nº 323, de 17 de fevereiro de 2026",UPBET BRASIL LTDA,56.236.761/0001-01,9D,9d.bet.br
0057/2026,"SPA/MF nº 323, de 17 de fevereiro de 2027",UPBET BRASIL LTDA,56.236.761/0001-02,WJCASINO,wjcasino.bet.br
0060/2024,"SPA/MF nº 2.100, de 30 de dezembro de 2024",ALFA ENTRETENIMENTO S.A.,55.359.927/0001-04,ALFA.BET,alfa.bet.br
0062/2024,"SPA/MF nº 1.112, de 21 de maio de 2025",SELECT OPERATIONS LTDA,56.875.122/0001-86,MMA,mmabet.bet.br
0062/2025,"SPA/MF nº 1.112, de 21 de maio de 2026",SELECT OPERATIONS LTDA,56.875.122/0001-87,BETVIP,betvip.bet.br
0062/2026,"SPA/MF nº 1.112, de 21 de maio de 2027",SELECT OPERATIONS LTDA,56.875.122/0001-88,PAPIGAMES,papigames.bet.br
0063/2024,"SPA/MF nº 472, de 10 de março de 2025",B3T4 INTERNATIONAL GROUP LTDA,56.706.644/0001-54,BET4,bet4.bet.br
0063/2025,"SPA/MF nº 472, de 10 de março de 2026",B3T4 INTERNATIONAL GROUP LTDA,56.706.644/0001-55,APOSTA BET,aposta.bet.br
0063/2026,"SPA/MF nº 472, de 10 de março de 2027",B3T4 INTERNATIONAL GROUP LTDA,56.706.644/0001-56,FAZ O BET,fazo.bet.br
0065/2024,"SPA/MF nº 1.055, de 14 de maio de 2025",SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,56.257.966/0001-63,ESPORTIVAVIP,esportivavip.bet.br
0065/2025,"SPA/MF nº 1.055, de 14 de maio de 2026",SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,56.257.966/0001-64,CBESPORTES,cbesportes.bet.br
0065/2026,"SPA/MF nº 1.055, de 14 de maio de 2027",SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,56.257.966/0001-65,DONOSDABOLA,donosdabola.bet.br
0066/2024,"SPA/MF nº 399, de 24 de fevereiro de 2025",SABIA ADMINISTRACAO LTDA,04.426.418/0001-16,BR4BET,br4.bet.br
0066/2025,"SPA/MF nº 399, de 24 de fevereiro de 2026",SABIA ADMINISTRACAO LTDA,04.426.418/0001-17,GOL DE BET,goldebet.bet.br
0066/2026,"SPA/MF nº 399, de 24 de fevereiro de 2027",SABIA ADMINISTRACAO LTDA,04.426.418/0001-18,LOTOGREEN,lotogreen.bet.br
0067/2024,"SPA/MF nº 2.101, de 30 de dezembro de 2024",A2FBR LTDA,56.147.145/0001-74,BOLSA DE APOSTA,bolsadeaposta.bet.br
0067/2025,"SPA/MF nº 2.101, de 30 de dezembro de 2025",A2FBR LTDA,56.147.145/0001-75,FULLTBET,fulltbet.bet.br
0067/2026,"SPA/MF nº 2.101, de 30 de dezembro de 2026",A2FBR LTDA,56.147.145/0001-76,BETBRA,betbra.bet.br
0067/2024,"SPA/MF nº 2.102, de 30 de dezembro de 2024",A2FBR LTDA,56.147.145/0001-74,PINNACLE,pinnacle.bet.br
0067/2025,"SPA/MF nº 2.102, de 30 de dezembro de 2025",A2FBR LTDA,56.147.145/0001-75,MATCHBOOK,matchbook.bet.br
0067/2026,"SPA/MF nº 2.102, de 30 de dezembro de 2026",A2FBR LTDA,56.147.145/0001-76,BETESPECIAL,betespecial.bet.br
0069/2024,"SPA/MF nº 2.103, de 30 de dezembro de 2024",BETBOOM LTDA,54.951.974/0001-80,BETBOOM,betboom.bet.br
0072/2024,"SPA/MF nº 524, de 14 de março de 2025",APOSTA 1 LTDA,55.258.645/0001-10,APOSTA1,aposta1.bet.br
0072/2025,"SPA/MF nº 524, de 14 de março de 2026",APOSTA 1 LTDA,55.258.645/0001-11,APOSTAMAX,apostamax.bet.br
0073/2024,"SPA/MF nº 262, de 07 de fevereiro de 2025",JOGO PRINCIPAL LTDA,56.302.709/0001-04,GINGABET,ginga.bet.br
0073/2025,"SPA/MF nº 262, de 07 de fevereiro de 2026",JOGO PRINCIPAL LTDA,56.302.709/0001-05,QGBET,qg.bet.br
0073/2026,"SPA/MF nº 262, de 07 de fevereiro de 2027",JOGO PRINCIPAL LTDA,56.302.709/0001-06,VIVASORTE,vivasorte.bet.br
0074/2024,"SPA/MF nº 374, de 24 de fevereiro de 2025",SKILL ON NET LTDA,55.927.219/0001-22,BACANAPLAY,bacanaplay.bet.br
0074/2025,"SPA/MF nº 374, de 24 de fevereiro de 2026",SKILL ON NET LTDA,55.927.219/0001-23,PLAYUZU,playuzu.bet.br
0075/2024,"SPA/MF nº 473, de 10 de março de 2025",WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,55.822.818/0001-81,BETCOPA,betcopa.bet.br
0075/2025,"SPA/MF nº 473, de 10 de março de 2026",WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,55.822.818/0001-82,BRASIL DA SORTE,brasildasorte.bet.br
0075/2026,"SPA/MF nº 473, de 10 de março de 2027",WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,55.822.818/0001-83,FYBET,fybet.bet.br
0077/2024,"SPA/MF nº 525, de 14 de março de 2025",Rr Participacoes e Intermediacoes de Negocios LTDA,23.159.703/0001-62,MULTIBET,multi.bet.br
0077/2025,"SPA/MF nº 525, de 14 de março de 2026",Rr Participacoes e Intermediacoes de Negocios LTDA,23.159.703/0001-63,RICOBET,rico.bet.br
0077/2026,"SPA/MF nº 525, de 14 de março de 2027",Rr Participacoes e Intermediacoes de Negocios LTDA,23.159.703/0001-64,BRXBET,brx.bet.br
0079/2024,"SPA/MF nº 263, de 07 de fevereiro de 2025",STAKE BRAZIL LTDA,56.525.936/0001-90,STAKE,stake.bet.br
0083/2024,"SPA/MF nº 1.343, de 18 de junho de 2025",RESPONSA GAMMING BRASIL LIMITADA,56.905.647/0001-17,JOGA LIMPO,a definir
0083/2025,"SPA/MF nº 1.343, de 18 de junho de 2026",RESPONSA GAMMING BRASIL LIMITADA,56.905.647/0001-18,ENERGIA,a definir
0085/2024,"SPA/MF nº 2.105, de 30 de dezembro de 2024
(Alterada pela Portaria SPA/MF nº 756, de 08 de abril de 2025)",LINDAU GAMING BRASIL S.A.,50.550.511/0001-55,SPIN,spin.bet.br
0085/2025,"SPA/MF nº 2.105, de 30 de dezembro de 2024
(Alterada pela Portaria SPA/MF nº 756, de 08 de abril de 2025)",LINDAU GAMING BRASIL S.A.,50.550.511/0001-56,OLEYBET,oleybet.bet.br
0085/2026,"SPA/MF nº 2.105, de 30 de dezembro de 2024
(Alterada pela Portaria SPA/MF nº 756, de 08 de abril de 2025)",LINDAU GAMING BRASIL S.A.,50.550.511/0001-57,BETPARK,betpark.bet.br
0086/2024,"SPA/MF nº 526, de 14 de março de 2025
(Alterada pela Portaria SPA/MF nº 1.203, de 02 de junho de 2025)",MERIDIAN GAMING BRASIL SPE LTDA,56.195.600/0001-07,MERIDIAN,meridianbet.bet.br
0086/2025,"SPA/MF nº 526, de 14 de março de 2025
(Alterada pela Portaria SPA/MF nº 1.203, de 02 de junho de 2025)",MERIDIAN GAMING BRASIL SPE LTDA,56.195.600/0001-08,PIN,pin.bet.br
0089/2024,"SPA/MF nº 474, de 10 de março de 2025",Versus Brasil Ltda,55.080.231/0001-44,VERSUSBET,versus.bet.br
0089/2025,"SPA/MF nº 474, de 10 de março de 2026",Versus Brasil Ltda,55.080.231/0001-45,VS - VERSUS,a definir
0090/2024,"SPA/MF nº 527, de 14 de março de 2025",LBBR APOSTAS DE QUOTA FIXA LIMITADA,56.441.713/0001-45,LUCK.BET,luck.bet.br
0090/2025,"SPA/MF nº 527, de 14 de março de 2026",LBBR APOSTAS DE QUOTA FIXA LIMITADA,56.441.713/0001-46,1 PRA 1,1pra1.bet.br
0090/2026,"SPA/MF nº 527, de 14 de março de 2027",LBBR APOSTAS DE QUOTA FIXA LIMITADA,56.441.713/0001-47,STARTBET,start.bet.br
0092/2024,"SPA/MF nº 693, de 1º de abril de 2025",VANGUARD ENTRETENIMENTO BRASIL LTDA,56.885.537/0001-30,ESPORTE 365,esporte365.bet.br
0092/2025,"SPA/MF nº 693, de 1º de abril de 2026",VANGUARD ENTRETENIMENTO BRASIL LTDA,56.885.537/0001-31,BET AKI,betaki.bet.br
